SRR6152881	Lineage_1
ERR768038	Lineage_1.1
ERR718556	Lineage_1.1
ERR718235	Lineage_1.1
ERR718422	Lineage_1.1
ERR718288	Lineage_1.1
ERR718374	Lineage_1.1
ERR718236	Lineage_1.1
ERR718262	Lineage_1.1
ERR718497	Lineage_1.1
ERR553088	Lineage_1.2
ERR2512840	Lineage_1.2
ERR400309	Lineage_1.2
SRR6045034	Lineage_1.2
SRR5065560	Lineage_2.1
ERR552761	Lineage_2.1
ERR553373	Lineage_2.1
DRR185119	Lineage_2.1
DRR184642	Lineage_2.1
ERR234216	Lineage_2.1
ERR551044	Lineage_2.1
ERR181316	Lineage_2.1
ERR234252	Lineage_2.1
ERR234248	Lineage_2.1
ERR502912	Lineage_2.2
ERR2514121	Lineage_3
ERR2514707	Lineage_3
ERR550978	Lineage_3
ERR2517625	Lineage_3
ERR2513473	Lineage_3
SRR3675535	Lineage_3
SRR2100827	Lineage_3
ERR2513685	Lineage_3
SRR2100044	Lineage_3
ERR038743	Lineage_3
ERR2513637	Lineage_3.1
ERR2514250	Lineage_3.1
ERR2509882	Lineage_3.1
ERR551397	Lineage_3.1
ERR2513554	Lineage_3.1
SRR2100324	Lineage_3.1
SRR2100981	Lineage_3.1
ERR2510590	Lineage_3.1
ERR2510623	Lineage_3.1
ERR1034589	Lineage_3.1
ERR2200121	Lineage_3.2
ERR551013	Lineage_3.2
ERR552820	Lineage_3.2
SRR6045997	Lineage_3.2
ERR2514230	Lineage_3.2
SRR2100025	Lineage_3.2
SRR2100350	Lineage_3.2
SRR6045966	Lineage_3.2
ERR2512416	Lineage_3.2
ERR2510344	Lineage_3.2
ERR2199860	Lineage_4
ERR2517475	Lineage_4
ERR133897	Lineage_4
ERR2513995	Lineage_4
ERR553346	Lineage_4
ERR2513713	Lineage_4
ERR552272	Lineage_4
ERR2516228	Lineage_4
ERR2514076	Lineage_4
ERR2517519	Lineage_4
ERR144613	Lineage_4.1
ERR2517547	Lineage_4.1
ERR550633	Lineage_4.1
SRR2100687	Lineage_4.1
ERR552879	Lineage_4.1
SRR2100180	Lineage_4.1
ERR2517391	Lineage_4.1
ERR550729	Lineage_4.1
ERR751942	Lineage_4.2
SRR5818596	Lineage_4.2
SRR6824620	Lineage_4.2
ERR2179736	Lineage_4.2
ERR2179737	Lineage_4.2
ERR551065	Lineage_4.3
ERR552334	Lineage_4.3
ERR552704	Lineage_4.3
ERR551889	Lineage_4.3
ERR553033	Lineage_4.3
ERR2510180	Lineage_4.3
ERR2516611	Lineage_4.3
ERR2512652	Lineage_4.3
ERR2517279	Lineage_4.3
ERR550965	Lineage_4.4
ERR2514347	Lineage_4.4
SRR2100805	Lineage_4.4
ERR2512723	Lineage_4.4
ERR2514048	Lineage_4.4
ERR2513635	Lineage_4.4
ERR1034693	Lineage_4.4
SRR6045465	Lineage_4.4
ERR1213839	Lineage_4.5
ERR1213854	Lineage_4.5
SRR2100604	Lineage_4.5
SRR2100720	Lineage_4.5
ERR1213852	Lineage_4.5
ERR751714	Lineage_4.5
SRR671751	Lineage_4.5
ERR2514763	Lineage_4.5
SRR671773	Lineage_4.5
ERR752153	Lineage_4.5
ERR2512610	Lineage_4.6
ERR2517343	Lineage_4.6
SRR2100571	Lineage_4.6
ERR2510770	Lineage_4.6
ERR2510807	Lineage_4.6
ERR551633	Lineage_4.6
ERR2512531	Lineage_4.6
SRR2100592	Lineage_4.6
SRR6046090	Lineage_4.6
ERR1035142	Lineage_4.6
SRR2100310	Lineage_4.7
SRR2100783	Lineage_4.7
SRR2101046	Lineage_4.7
SRR2101621	Lineage_4.7
SRR6045316	Lineage_4.7
ERR551297	Lineage_4.7
ERR2517136	Lineage_4.7
ERR1213922	Lineage_4.7
ERR2513257	Lineage_4.7
ERR2516422	Lineage_4.7
SRR6045004	Lineage_4.8
ERR1035147	Lineage_4.8
ERR551712	Lineage_4.8
ERR550701	Lineage_4.8
ERR550998	Lineage_4.8
ERR552476	Lineage_4.8
ERR400364	Lineage_4.8
ERR400462	Lineage_4.8
ERR2041758	Lineage_4.8
ERR2199890	Lineage_4.9
ERR2199906	Lineage_4.9
ERR552126	Lineage_4.9
ERR552871	Lineage_4.9
ERR163991	Lineage_4.9
SRR2101462	Lineage_4.9
SRR2101607	Lineage_4.9
SRR2101653	Lineage_4.9
ERR1213837	Lineage_4.9
ERR552644	Lineage_4.9
ERR2516651	Lineage_5
ERR751329	Lineage_5
ERR2383618	Lineage_5
ERR751345	Lineage_5
ERR751338	Lineage_5
ERR1215463	Lineage_5
ERR702416	Lineage_5
ERR502471	Lineage_5
ERR1215464	Lineage_5
ERR751330	Lineage_5
ERR552605	Lineage_5.1
ERR234202	Lineage_5.1
ERR551620	Lineage_5.1
ERR2516310	Lineage_5.2
ERR2706950	Lineage_5.2
ERR1679637	Lineage_5.3
ERR2514128	Lineage_5.3
SRR2100539	Lineage_6
ERR2512633	Lineage_6
SRR6045496	Lineage_6
ERR2704811	Lineage_6.1
ERR181435	Lineage_7
ERR181314	Lineage_9
ERR751824	Lineage_1.1.1
ERR767987	Lineage_1.1.1.1
ERR2510366	Lineage_1.1.2
ERR1213947	Lineage_1.1.2
SRR2100430	Lineage_1.1.3
SRR2101252	Lineage_1.1.3.1
ERR2513178	Lineage_1.1.3.2
ERR2512769	Lineage_1.1.3.3
ERR2513144	Lineage_1.1.3.3
ERR2517328	Lineage_1.2.1
ERR2510788	Lineage_1.2.2
SRR5067296	Lineage_1.2.2.1
SRR2100241	Lineage_1.3.1
ERR2510255	Lineage_1.3.2
ERR2510746	Lineage_2.2.1
ERR551871	Lineage_2.2.1.1
ERR2513866	Lineage_2.2.1.2
SRR2024907	Lineage_2.2.2
ERR176577	Lineage_3.1.1
ERR2512807	Lineage_3.1.2
ERR2512825	Lineage_3.1.2.1
SRR2100113	Lineage_3.1.2.2
ERR2513673	Lineage_4.1.1
SRR2100933	Lineage_4.1.1.1
ERR2512465	Lineage_4.1.1.2
ERR2512617	Lineage_4.1.1.3
SRR2100001	Lineage_4.1.1.3.1
ERR551893	Lineage_4.1.2
ERR2512744	Lineage_4.1.2.1
ERR757170	Lineage_4.1.2.1.1
ERR552061	Lineage_4.1.4
ERR2510782	Lineage_4.2.1
ERR2512872	Lineage_4.2.1.1
ERR2514985	Lineage_4.2.2
ERR552483	Lineage_4.2.2.1
ERR038741	Lineage_4.2.2.2
ERR550620	Lineage_4.3.1
ERR039335	Lineage_4.3.1.1
SRR2101753	Lineage_4.3.2
SRR2101516	Lineage_4.3.2.1
ERR182035	Lineage_4.3.3
