Mycolicibacterium insubricum	ASM1073161v1	GCA_010731615.1
Mycolicibacterium conceptionense	ASM210206v1	GCA_002102065.1
Mycolicibacter minnesotensis	ASM1073175v1	GCA_010731755.1
Mycobacterium rutilum	IMG-taxon_2636415969_annotated_assembly	GCA_900108565.1
Mycolicibacter arupensis	ASM837310v1	GCA_008373105.1
Mycobacterium gordonae	ASM2115499v1	GCA_021154995.1
Mycobacterium frederiksbergense	ASM1974517v1	GCA_019745175.1
Mycobacterium crocinum	ASM2237063v1	GCA_022370635.1
Mycobacterium kyorinense	ASM210173v1	GCA_002101735.1
Mycobacterium shinjukuense	ASM1073005v1	GCA_010730055.1
Mycobacterium kansasii	ASM15789v2	GCF_000157895.3
Mycolicibacterium mucogenicum	ASM567068v2	GCA_005670685.2
Mycolicibacter terrae	ASM1072712v1	GCA_010727125.1
Mycobacterium gallinarum	ASM1072676v1	GCA_010726765.1
Mycobacterium triplex	ASM210241v1	GCA_002102415.1
Mycobacterium avium	ASM974144v1	GCF_009741445.1
Mycobacterium avium silvaticum	MAS_49884_version_1	GCA_000504975.1
Mycobacterium avium avium	ASM2118384v1	GCA_021183845.1
Mycobacterium avium hominissius	ASM2217558v1	GCA_022175585.1
Mycobacterium avium paratuberculosis	ASM90912970v2	GCA_909129705.2
Mycobacterium angelicum	ASM208615v1	GCA_002086155.1
Mycolicibacterium bacteremicum	ASM208611v1	GCA_002086115.1
Mycobacterium neglectum	ASM259197v1	GCA_002591975.1
Mycobacterium seoulense	ASM1073159v1	GCA_010731595.1
Mycolicibacterium phlei	ASM1533357v1	GCA_015333575.1
Mycolicibacterium brisbanense	ASM157042v1	GCA_001570425.1
Mycobacterium lentiflavum	ASM2237489v1	GCA_022374895.1
Mycolicibacterium mageritense	ASM2090744v1	GCA_020907445.1
Mycobacterium pyrenivorans	ASM131410v1	GCA_001314105.1
Mycobacterium holsaticum	ASM1964583v1	GCA_019645835.1
Mycobacterium novum	ASM1072650v1	GCA_010726505.1
Mycobacterium parascrofulaceum	ASM16413v1	GCA_000164135.1
Mycolicibacterium phocaicum	ASM2052016v1	GCA_020520165.1
Mycobacterium bohemicum	ASM210202v1	GCA_002102025.1
Mycobacteroides abscessus subsp. abscessus	ASM1718355v1	GCA_017183555.1
Mycobacteroides abscessus subsp. bolletii	ASM44503v1	GCA_000445035.1
Mycobacteroides abscessus subsp. massiliense	ASM27777v2	GCA_000277775.2
Mycobacterium arosiense	ASM208612v1	GCA_002086125.1
Mycobacterium senegalense	ASM1964587v1	GCA_019645875.1
Mycobacterium neworleansense	Mycobacterium_neworleansense_assembly_1	GCA_001245615.1
Mycobacterium paraterrae	ASM2243054v1	GCA_022430545.1
Mycolicibacterium litorale	ASM1421829v1	GCA_014218295.1
Mycobacterium europaeum	ASM210215v1	GCA_002102155.1
Mycobacterium shimoidei	PRJEB26812	GCA_900417275.1
Mycolicibacterium fallax	ASM1072695v1	GCA_010726955.1
Mycolicibacter nonchromogenicus	ASM210177v1	GCA_002101775.1
Mycobacterium intermedium	ASM208627v1	GCA_002086275.1
Mycobacterium pallens	ASM1945667v1	GCA_019456675.1
Mycolicibacterium aurum	50279_F01	GCA_900637195.1
Mycobacterium haemophilum	ASM34043v3	GCA_000340435.3
Mycolicibacterium smegmatis	ASM1334914v1	GCF_013349145.1
Mycobacterium setense	PRJEB23414	GCA_900236745.1
Mycobacterium mantenii	ASM1073177v1	GCA_010731775.1
Mycolicibacterium obuense	ASM1419426v1	GCA_014194265.1
Mycobacteroides immunogenum	ASM210166v1	GCA_002101665.1
Mycolicibacillus koreensis	ASM1073183v1	GCA_010731835.1
Mycobacterium goodii	ASM2237075v1	GCA_022370755.1
